<<<<<<< HEAD
username,password,role
admin,admin123,admin
robi,robi321,user
nia,nia456,user
budi,budi789,user
riri,123,user
wildan ulat sagu,icikiwir,user
semenpuger,semenhuekhuekcihuy81namakunafisahehehe,user
nafis,masnafis,user
wulan,wulanwl,user
gch,jhbm,user
=======
username,password,role
admin,admin123,admin
robi,robi321,user
nia,nia456,user
budi,budi789,user
riri,123,user
wildan ulat sagu,icikiwir,user
semenpuger,semenhuekhuekcihuy81namakunafisahehehe,user
nafis,masnafis,user
wulan,wulanwl,user
gch,jhbm,user
>>>>>>> 997a80b47e2bb495451adde628747f8587d1a13f
